timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709296381435,2062,GET-UserProfile,200,OK,Thread Group 1-57,text,true,,857,357,31,31,https://thinking-tester-contact-list.herokuapp.com/users/me,2062,0,1780
1709296383330,298,GET-Contact,200,OK,Thread Group 1-46,text,true,,1056,357,32,32,https://thinking-tester-contact-list.herokuapp.com/contacts,298,0,0
1709296381335,2295,GET-UserProfile,200,OK,Thread Group 1-56,text,true,,853,357,31,31,https://thinking-tester-contact-list.herokuapp.com/users/me,2295,0,2032
1709296383347,288,GET-Contact,200,OK,Thread Group 1-55,text,true,,1056,357,32,32,https://thinking-tester-contact-list.herokuapp.com/contacts,288,0,0
1709296381978,1660,GET-Contact,200,OK,Thread Group 1-44,text,true,,1056,357,31,31,https://thinking-tester-contact-list.herokuapp.com/contacts,1660,0,0
1709296383498,344,GET-Contact,200,OK,Thread Group 1-57,text,true,,1056,357,32,32,https://thinking-tester-contact-list.herokuapp.com/contacts,344,0,0
1709296381534,2329,GET-UserProfile,200,OK,Thread Group 1-58,text,true,,853,357,31,31,https://thinking-tester-contact-list.herokuapp.com/users/me,2329,0,2033
1709296381836,2050,GET-UserProfile,200,OK,Thread Group 1-61,text,true,,853,357,31,31,https://thinking-tester-contact-list.herokuapp.com/users/me,2050,0,1777
1709296383631,317,GET-Contact,200,OK,Thread Group 1-56,text,true,,1056,357,32,32,https://thinking-tester-contact-list.herokuapp.com/contacts,317,0,0
1709296381736,2215,GET-UserProfile,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-60,text,false,Test failed: code expected to contain /200/,3177,0,31,31,https://thinking-tester-contact-list.herokuapp.com/users/me,0,0,2214
1709296381934,2038,GET-UserProfile,200,OK,Thread Group 1-62,text,true,,853,357,31,31,https://thinking-tester-contact-list.herokuapp.com/users/me,2038,0,1748
